2018-08-01 09:39:14 | INFO | 3419 | 5b617d404b915 | 1533116354.794 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.5170000000000000",0.04,"ASK"]
2018-08-01 09:39:14 | INFO | 3419 | 5b617d404b915 | 1533116354.796 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.516,0.04,"ASK"]
2018-08-01 09:39:14 | INFO | 3419 | 5b617d404b915 | 1533116354.798 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.515,0.04,"ASK"]
2018-08-01 09:39:24 | INFO | 3419 | 5b617d404b915 | 1533116364.133 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.911268,0.4801009039997514,"ASK"]
2018-08-01 09:39:28 | INFO | 3419 | 5b617d404b915 | 1533116368.225 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.993016,0.4606988859197564,"ASK"]
2018-08-01 09:39:32 | INFO | 3419 | 5b617d404b915 | 1533116372.885 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.926508,0.44168490820136125,"ASK"]
2018-08-01 09:39:37 | INFO | 3419 | 5b617d404b915 | 1533116377.618 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.92712600000004,0.423051210037334,"ASK"]
2018-08-01 09:39:41 | INFO | 3419 | 5b617d404b915 | 1533116381.890 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.927744,0.40479018583658727,"ASK"]
2018-08-01 09:39:46 | INFO | 3419 | 5b617d404b915 | 1533116386.8 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.846378,0.3868943821198555,"ASK"]
2018-08-01 09:39:51 | INFO | 3419 | 5b617d404b915 | 1533116391.37 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.846378,0.3693564944774584,"ASK"]
2018-08-01 09:39:56 | INFO | 3419 | 5b617d404b915 | 1533116396.356 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.846378,0.3521693645879092,"ASK"]
2018-08-01 09:40:01 | INFO | 3419 | 5b617d404b915 | 1533116401.285 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.24183600000003,0.335325977296151,"ASK"]
2018-08-01 09:40:07 | INFO | 3419 | 5b617d404b915 | 1533116407.368 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.24183600000003,0.31881945775022796,"ASK"]
2018-08-01 09:40:17 | INFO | 3419 | 5b617d404b915 | 1533116417.802 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.135242,0.3026430685952234,"ASK"]
2018-08-01 09:40:23 | INFO | 3419 | 5b617d404b915 | 1533116423.471 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.432454,0.2867902072233189,"ASK"]
2018-08-01 09:40:28 | INFO | 3419 | 5b617d404b915 | 1533116428.512 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.354526,0.2712544030788525,"ASK"]
2018-08-01 09:40:33 | INFO | 3419 | 5b617d404b915 | 1533116433.802 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.432454,0.25602931501727544,"ASK"]
2018-08-01 09:40:37 | INFO | 3419 | 5b617d404b915 | 1533116437.795 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.354526,0.24110872871692993,"ASK"]
2018-08-01 09:40:43 | INFO | 3419 | 5b617d404b915 | 1533116443.208 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.34535800000003,0.2264865541425913,"ASK"]
2018-08-01 09:40:48 | INFO | 3419 | 5b617d404b915 | 1533116448.773 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.34535800000003,0.21215682305973946,"ASK"]
2018-08-01 09:40:55 | INFO | 3419 | 5b617d404b915 | 1533116455.503 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.42748800000004,0.19811368659854467,"ASK"]
2018-08-01 09:41:01 | INFO | 3419 | 5b617d404b915 | 1533116461.478 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.468744,0.18435141286657378,"ASK"]
2018-08-01 09:41:07 | INFO | 3419 | 5b617d404b915 | 1533116467.854 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.180716,0.1708643846092423,"ASK"]
2018-08-01 09:41:15 | INFO | 3419 | 5b617d404b915 | 1533116475.42 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.34612200000004,0.15764709691705744,"ASK"]
2018-08-01 09:41:20 | INFO | 3419 | 5b617d404b915 | 1533116480.999 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.00016199999993,0.1446941549787163,"ASK"]
2018-08-01 09:41:26 | INFO | 3419 | 5b617d404b915 | 1533116486.802 | 开始根据真实数据进行模拟交易,假定挂单立即成交[424.916886,0.13200027187914196,"ASK"]
2018-08-01 09:41:32 | INFO | 3419 | 5b617d404b915 | 1533116492.337 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.46989,0.11956026644155912,"ASK"]
2018-08-01 09:41:37 | INFO | 3419 | 5b617d404b915 | 1533116497.180 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.34612200000004,0.10736906111272794,"ASK"]
2018-08-01 09:41:40 | INFO | 3419 | 5b617d404b915 | 1533116500.956 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.0840000000000000",0.04,"ASK"]
2018-08-01 09:41:40 | INFO | 3419 | 5b617d404b915 | 1533116500.957 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.083,0.04,"ASK"]
2018-08-01 09:41:40 | INFO | 3419 | 5b617d404b915 | 1533116500.958 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.082,0.04,"ASK"]
2018-08-01 09:41:53 | INFO | 3419 | 5b617d404b915 | 1533116513.310 | 开始根据真实数据进行模拟交易,假定挂单立即成交["425.3060000000000000",0.04,"ASK"]
2018-08-01 09:41:53 | INFO | 3419 | 5b617d404b915 | 1533116513.311 | 开始根据真实数据进行模拟交易,假定挂单立即成交[425.305,0.04,"ASK"]
