2018-08-01 06:58:21 | INFO | 1974 | 5b6159b5b2c82 | 1533106701.233 | ordersCancel 调用成功 109006100
2018-08-01 06:58:21 | INFO | 1974 | 5b6159b5b2c82 | 1533106701.235 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:58:22 | INFO | 1974 | 5b6159b5b2c82 | 1533106702.821 | ordersCancel 调用成功 109006100
2018-08-01 06:58:22 | INFO | 1974 | 5b6159b5b2c82 | 1533106702.822 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:58:24 | INFO | 1974 | 5b6159b5b2c82 | 1533106704.845 | tradesMarket 调用成功 ["ETH-USDT",2]
2018-08-01 06:58:27 | INFO | 1974 | 5b6159b5b2c82 | 1533106707.270 | depth 调用成功 "ETH-USDT"
2018-08-01 06:58:27 | NOTICE | 1974 | 5b6159b5b2c82 | 1533106707.275 | main loop{"price":421.31299999999993,"p":0.8930767354754281,"btc":"4.7898377974281000","usdt":"241.5760330280000000","vol":0.30011999999999994}
2018-08-01 06:58:27 | INFO | 1974 | 5b6159b5b2c82 | 1533106707.278 | 开始根据真实数据进行模拟交易,假定挂单立即成交["421.9000000000000000",0.04,"ASK"]
2018-08-01 06:58:27 | INFO | 1974 | 5b6159b5b2c82 | 1533106707.279 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.899,0.04,"ASK"]
2018-08-01 06:58:27 | INFO | 1974 | 5b6159b5b2c82 | 1533106707.280 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.89799999999997,0.04,"ASK"]
2018-08-01 06:58:31 | INFO | 1974 | 5b6159b5b2c82 | 1533106711.10 | accounts 调用成功 null
2018-08-01 06:58:36 | INFO | 1974 | 5b6159b5b2c82 | 1533106716.320 | ordersCancel 调用成功 109006100
2018-08-01 06:58:36 | INFO | 1974 | 5b6159b5b2c82 | 1533106716.322 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:58:41 | INFO | 1974 | 5b6159b5b2c82 | 1533106721.332 | ordersCancel 调用成功 109006100
2018-08-01 06:58:41 | INFO | 1974 | 5b6159b5b2c82 | 1533106721.334 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:58:42 | INFO | 1974 | 5b6159b5b2c82 | 1533106722.683 | ordersCancel 调用成功 109006100
2018-08-01 06:58:42 | INFO | 1974 | 5b6159b5b2c82 | 1533106722.685 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:58:43 | INFO | 1974 | 5b6159b5b2c82 | 1533106723.950 | tradesMarket 调用成功 ["ETH-USDT",2]
2018-08-01 06:58:45 | INFO | 1974 | 5b6159b5b2c82 | 1533106725.312 | depth 调用成功 "ETH-USDT"
2018-08-01 06:58:45 | NOTICE | 1974 | 5b6159b5b2c82 | 1533106725.315 | main loop{"price":421.3383,"p":0.8930888840919536,"btc":"4.7898377974281000","usdt":"241.5760330280000000","vol":0.30011999999999994}
2018-08-01 06:58:45 | INFO | 1974 | 5b6159b5b2c82 | 1533106725.316 | 开始根据真实数据进行模拟交易,假定挂单立即成交["421.9000000000000000",0.04,"ASK"]
2018-08-01 06:58:45 | INFO | 1974 | 5b6159b5b2c82 | 1533106725.316 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.899,0.04,"ASK"]
2018-08-01 06:58:45 | INFO | 1974 | 5b6159b5b2c82 | 1533106725.317 | 开始根据真实数据进行模拟交易,假定挂单立即成交[421.89799999999997,0.04,"ASK"]
2018-08-01 06:58:52 | INFO | 1974 | 5b6159b5b2c82 | 1533106732.670 | accounts 调用成功 null
2018-08-01 06:58:54 | INFO | 1974 | 5b6159b5b2c82 | 1533106734.425 | ordersCancel 调用成功 109006100
2018-08-01 06:58:54 | INFO | 1974 | 5b6159b5b2c82 | 1533106734.427 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
2018-08-01 06:58:55 | INFO | 1974 | 5b6159b5b2c82 | 1533106735.790 | ordersCancel 调用成功 109006100
2018-08-01 06:58:55 | INFO | 1974 | 5b6159b5b2c82 | 1533106735.792 | 取消订单完成{"data":{"updated_at":"2018-07-30T12:35:18Z","state":"CANCELED","side":"BID","price":"10.0000000000000000","market_uuid":"2dab8bcf-cfdd-496b-8181-d670568d1daa","market_id":"ETH-USDT","inserted_at":"2018-07-30T12:28:05Z","id":"109006100","filled_amount":"0E-16","avg_deal_price":"0E-16","amount":"1.0000000000000000"}}
